Row Number,School Name,Borough,Address,Postcode,Lat,Long,Neighborhood,Ages,Website
1,14th Street Y Preschool,M,"344 East 14th Street, New York NY",10003,40.7312619,-73.9834162,East Village,2.4 years - 5,https://www.14streety.org/early-childhood/preschool/
2,74th Street Magic,M,"510 E 74th St, New York NY",10021,40.7677601,-73.952096,Upper East Side,Infant - 13 years,http://www.74magic.com/
3,92nd Street Y Nursery School,M,"1395 Lexington Avenue, New York NY",10128,40.7829293,-73.9524223,Upper East Side,2.6-5 years,http://www.92y.org/content/nursery_school.asp
4,Abraham Joshua Heschel School,M,"30 West End Avenue, New York NY",10023,40.7725577,-73.9893848,Upper West Side,Nursery-Grade 12,http://www.heschel.org/
5,ACADEMY OF ST DOROTHY,R,"1305 Hylan Blvd, Staten Island, NY",10305,40.5973856,-74.0865091,Staten Island,PreK - Grade 8,https://academyofstdorothy.org/
6,Academy of St. Joseph,M,"111 Washington Place, New York NY",10014,40.7328006,-74.0009312,Greenwich Village,Pre K- Grade 3,http://www.academyofsaintjoseph.org/
7,The Acorn School,M,"330 E 26th St, New York NY",10010,40.7392576,-73.9787819,Flatiron District,2-4 years,acornschoolny.com
8,ADULTS AND CHILDREN IN TRUST (A.C.T.) PROGRAMS AT THE CATHEDRAL CHURCH OF ST. JOHN THE DIVINE,M,"1047 Amsterdam Ave, New York NY",10025,40.8038206,-73.9618358,Upper West Side,1 - 5 years,http://actprograms.org
9,Ahi Ezer Yeshiva,K,"2433 Ocean Pkwy, Brooklyn, NY",11235,40.5902595,-73.9645679,Sheepshead Bay,,http://ahiezeryeshiva.org/index.php
10,Aleph Bet Preschool of Murray Hill,M,"133 East 29th Street, New York NY",10016,40.7432193,-73.9814138,Murray Hill,2 - 4 years,http://alephbetny.com
11,Alexander Robertson School,M,"3 West 95th Street, New York NY",10025,40.7912092,-73.9653891,Upper West Side,3 years- Grade 5,http://alexanderrobertson.org
12,All Souls School,M,"1157 Lexington Avenue, New York NY",10075,40.7753752,-73.9581623,Upper East Side,2.5-5 years,http://allsoulsschoolnyc.org/
13,Al Madrasa Al Islamiya,K,"5224 Third Avenue Brooklyn, NY",11220,40.6462903,-74.0164613,Sunset Park,4 years- Grade 8,http://www.almadrasanyc.com/
14,Al-Ihsan Academy,Q,"130-08 Rockaway Blvd, South Ozone Park, NY",11420,40.6746348,-73.8081741,Ozone Park,4 years - Grade 12,http://ihsanacademy.org/Default.aspx
15,Al-noor School,K,"675 4th Ave., Brooklyn, NY",11232,40.6629007,-73.9949859,Gowanus,4 years- Grade 8,
16,A New Dawn Elementary School,Q,"8914 163rd St, Jamaica, NY",11432,40.7065343,-73.798149,Jamaica,2 - 4 years,
17,Apple Tree Learning Academy,K,"440 E 48th St, Brooklyn, NY",11203,40.6510042,-73.9326066,East Flatbush,2-5 years,http://www.appletreela.com/
18,Arc-En-Ciel,M,"1656 Third Avenue, New York, NY",10128,40.783204,-73.951119,Upper East Side,2 - 5 years,http://arcencielny.com
19,Avenues,M,"536 West 26th Street, New York NY",10001,40.7502039,-74.004817,Chelsea,Pre K ,https://www.avenues.org/en/nyc/elc-and-co-lab/
20,Bais Esther School,K,"1353 50th St, Brooklyn, NY",11219,40.6337427,-73.9912553,Borough Park,PreK - Grade 12,
