,LOCCODE,PreK_Type,Borough,LocName,NOTE,phone,address,Postcode,Day_Length,Seats,X,Y,Email,Website,MEALS,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
1421,XAML,NYCEEC,X,Just 4 Kids Tremont,,917-217-1781,3881 East Tremont,10465,1,12,1034238,239286,Djust4kids@aol.com,,3,3,1,08XAML,40.823246000000005,-73.819661,10,13,158,2077132.0,2054390007.0,Schuylerville-Throgs Neck-Edgewater Park                                   
1466,XAAF,NYCEEC,X,Howard Haber ELC,,718-409-1450,2300 Westchester Ave,10462,1,12,1026276,243570,Francine.Rykman@ahrcnyc.org,http://schools.ahrcnyc.org,6,3,2,11XAAF,40.835725,-73.847942,10,18,96,2087040.0,2038340081.0,Westchester-Unionport                                                      
1480,X001,DOE,X,P.S. 001 Courtlandt School,,718-292-9191,335 East 152 St,10451,1,36,1006649,237683,dgalarza@schools.nyc.gov,http://ps1x.org,2,3,3,07X001,40.818816,-73.91901,1,17,67,2001881.0,2024110119.0,Melrose South-Mott Haven North                                             
1481,X003,DOE,X,P.S. 3 Raul Julia Micro Society,,718-584-1899,2100 Lafontaine Ave,10457,1,60,1014171,249042,mortiz21@schools.nyc.gov,http://schools.nyc.gov/schoolportals/10/x003,2,3,3,10X003,40.849897,-73.892289,6,15,37504,2099356.0,2030620043.0,East Tremont                                                               
1482,X004,DOE,X,P.S. / M.S. 004 Crotona Park West,,718-583-6655,1701 Fulton Ave,10457,1,36,1012480,245915,vresto@schools.nyc.gov,http://schools.nyc.gov/schoolportals/09/x004,3,3,3,09X004,40.840891,-73.898166,3,15,165,2009659.0,2029300001.0,Claremont-Bathgate                                                         
1483,X005,DOE,X,P.S. 5 Port Morris,,718-292-2683,564 Jackson Ave,10455,1,36,1009538,235709,mpadill@schools.nyc.gov,http://schools.nyc.gov/schoolportals/07/x005,2,3,3,07X005,40.813728000000005,-73.908886,1,8,73,2004548.0,2026420001.0,Melrose South-Mott Haven North                                             
1484,X006,DOE,X,P.S. 006 West Farms,,718-542-7676,1000 East Tremont Ave,10460,1,72,1016803,245588,jyoung6@schools.nyc.gov,http://schools.nyc.gov/schoolportals/12/x006,2,3,3,12X006,40.840755,-73.88170699999999,6,17,359,2010892.0,2030050010.0,East Tremont                                                               
1485,X009,DOE,X,P.S. 9 Ryer Avenue Elementary School,,718-584-3291,230 East 183 St,10458,1,98,1012258,251425,jbailey5@schools.nyc.gov,http://schools.nyc.gov/schoolportals/10/x009,3,1,3,10X009,40.857067,-73.89893599999999,5,15,38301,2013561.0,2031500010.0,Fordham South                                                              
1486,X016,DOE,X,P.S. 016 Wakefield,,718-324-1262,4550 Carpenter Ave,10470,1,54,1024477,268049,ywillia5@schools.nyc.gov,http://schools.nyc.gov/schoolportals/11/x016,2,7,3,11X016,40.902205,-73.85482900000001,12,11,414,2070894.0,2050760031.0,Woodlawn-Wakefield                                                         
1487,X018,DOE,X,P.S. 018 John Peter Zenger,,718-292-2868,502 Morris Ave,10451,1,36,1005598,236750,lsewell3@schools.nyc.gov,http://schools.nyc.gov/schoolportals/07/x018,2,3,3,07X018,40.816406,-73.92329000000001,1,8,51,2000816.0,2023240008.0,Mott Haven-Port Morris                                                     
