,LOCCODE,PreK_Type,Borough,LocName,NOTE,phone,address,Postcode,Day_Length,Seats,X,Y,Email,Website,MEALS,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
0,K001,DOE,K,P.S. 001 The Bergen,,718-567-7661,309 47 St,11220,1,125,980985,175780,aramos4@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k001,2,3,3,15K001,40.649042,-74.012289,7,38,80,3011821.0,3007550022.0,Sunset Park West                                                           
1,K003,DOE,K,P.S. 003 The Bedford Village,,718-622-2960,50 Jefferson Ave,11216,1,90,996604,187904,kbeeche@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k003,2,3,3,13K003,40.682663,-73.955338,3,36,227,3057406.0,3019980001.0,Clinton Hill                                                               
2,K005,DOE,K,P.S. 005 Dr. Ronald Mcnair,,718-574-2333,820 Hancock St,11233,1,36,1005773,189031,lgates@schools.nyc.gov,http://schools.nyc.gov/schoolportals/16/k005,2,3,3,16K005,40.685695,-73.922463,3,41,377,3039906.0,3014900001.0,Stuyvesant Heights                                                         
3,K007,DOE,K,P.S. 007 Abraham Lincoln,,718-647-3600,858 Jamaica Ave,11208,1,36,1019458,190490,cnoel@schools.nyc.gov,http://schools.nyc.gov/schoolportals/19/k007,5,9,3,19K007,40.689696999999995,-73.873109,5,37,118201,3090998.0,3041060039.0,Cypress Hills-City Line                                                    
4,K009,DOE,K,P.S. 009 Teunis G Bergen,,718-638-3260,80 Underhill Ave,11238,1,90,993700,186368,sdavila@schools.nyc.gov,http://ps9brooklyn.org,2,3,3,13K009,40.678297,-73.965541,8,35,205,3028204.0,3011450026.0,Prospect Heights                                                           
5,K011,DOE,K,P.S. 011 Purvis J Behan,,718-638-2661,419 Waverly Ave,11238,1,72,993685,189033,awright3@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k011,2,3,3,13K011,40.685491,-73.966291,2,35,199,3332865.0,3019620010.0,Clinton Hill                                                               
6,K012,DOE,K,Dr. Jacqueline Peek - Davis School,,718-953-4569,430 Howard Ave,11233,1,72,1006488,184472,gthom2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/17/k012,2,3,3,17K012,40.673072999999995,-73.91959399999999,16,41,363,3039174.0,3014570032.0,Ocean Hill                                                                 
7,K013,DOE,K,P.S. 013 Roberto Clemente,,718-498-3717,557 Pennsylvania Ave,11207,1,36,1013831,181130,mcameron2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/19/k013,2,3,3,19K013,40.663672999999996,-73.893754,5,42,1126,3085070.0,3038230001.0,East New York (Pennsylvania Ave)                                           
8,K015,DOE,K,P.S. 015 Patrick F Daly,,718-330-9280,71 Sullivan St,11231,1,84,981053,185943,pwyns@schools.nyc.gov,http://ps15patrickfdaly.org,3,3,1,15K015,40.677343,-74.011558,6,38,53,3008585.0,3005660001.0,Carroll Gardens-Columbia Street-Red Hook                                   
9,K016,DOE,K,P.S. 016 Leonard Dunkly,,718-782-5352,157 Wilson St,11211,1,72,994790,196466,mrenny@schools.nyc.gov,http://schools.nyc.gov/schoolportals/14/k016,2,3,3,14K016,40.706022999999995,-73.961476,1,33,535,3059906.0,3021770001.0,Williamsburg                                                               
10,K017,DOE,K,P.S. 017 Henry D Woodworth,,718-387-2929,208 North 5 St,11211,1,28,996201,199850,rmarchi@schools.nyc.gov,http://schools.nyc.gov/schoolportals/14/k017,2,3,3,14K017,40.715351,-73.956716,1,34,519,3062337.0,3023450001.0,North Side-South Side                                                      
11,K018,DOE,K,P.S. 018 Edward Bush,,718-387-3241,101 Maujer St,11206,1,36,998970,198249,aalexan4@schools.nyc.gov,http://schools.nyc.gov/schoolportals/14/k018,2,3,3,14K018,40.710609000000005,-73.946977,1,34,503,3069559.0,3027870001.0,East Williamsburg                                                          
12,K020,DOE,K,P.S. 020 Clinton Hill,,718-834-6744,225 Adelphi St,11205,1,54,992270,190980,lbarbera@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k020,2,3,3,13K020,40.690765,-73.971376,2,35,183,3058531.0,3020910003.0,Fort Greene                                                                
13,K021,DOE,K,P.S. 021 Crispus Attucks,,718-493-9681,180 Chauncey St,11233,1,54,1004755,187212,lfrazie@schools.nyc.gov,http://schools.nyc.gov/schoolportals/16/k021,2,3,3,16K021,40.680727000000005,-73.926597,3,36,381,3047914.0,3016920017.0,Crown Heights North                                                        
14,K023,DOE,K,P.S. 023 Carter G Woodson,,718-387-0375,545 Willoughby Ave,11206,1,36,998775,192219,cnapoli@schools.nyc.gov,http://schools.nyc.gov/schoolportals/14/k023,2,3,3,14K023,40.69407,-73.94756,3,36,25901,3048818.0,3017590013.0,Bedford                                                                    
15,K024,DOE,K,P.S. 024,,718-832-9366,427 38 St,11232,1,36,982972,177112,rdubits@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k024,3,3,3,15K024,40.652701,-74.004743,7,38,84,3346119.0,3007010001.0,Sunset Park West                                                           
16,K025,DOE,K,P.S. 025 Eubie Blake School,,718-574-2336,787 Lafayette Ave,11221,1,36,1000753,191155,acoley2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/16/k025,3,3,3,16K025,40.691037,-73.941342,3,36,281,3049858.0,3017870014.0,Stuyvesant Heights                                                         
17,K026,DOE,K,P.S. 026 Jesse Owens,,718-919-5707,1014 Lafayette Ave,11221,1,18,1003289,191351,ccelest@schools.nyc.gov,http://schools.nyc.gov/schoolportals/16/k026,2,3,3,16K026,40.692126,-73.931731,3,36,291,3393805.0,3016160001.0,Stuyvesant Heights                                                         
18,K028,DOE,K,P.S. 028 The Warren Prep Academy,,718-467-2865,1001 Herkimer St,11233,1,18,1006403,186449,,http://schools.nyc.gov/schoolportals/16/k028,2,3,3,16K028,40.678049,-73.92031999999999,3,41,301,3042090.0,3015480019.0,Ocean Hill                                                                 
19,K029,DOE,K,P.S. 029 John M Harrigan,,718-330-9277,425 Henry St,11201,1,54,984883,189545,rfagin@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k029,3,3,3,15K029,40.686951,-73.99806,6,39,45,3255627.0,3003110001.0,Carroll Gardens-Columbia Street-Red Hook                                   
20,K031,DOE,K,P.S. 031 Samuel F Dupont,,718-383-8998,75 Meserole Ave,11222,1,108,996979,204091,mscarla@schools.nyc.gov,http://schools.nyc.gov/schoolportals/14/k031,2,1,3,14K031,40.726587,-73.95427,1,33,561,3065299.0,3025950001.0,Greenpoint                                                                 
21,K032,DOE,K,P.S. 032 Samuel Mills Sprole,,718-222-6400,317 Hoyt St,11231,1,30,986550,187189,dflorio@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k032,3,7,3,15K032,40.680445,-73.991949,6,39,75,3395587.0,3004370001.0,Carroll Gardens-Columbia Street-Red Hook                                   
22,K034,DOE,K,P.S. 034 Oliver H Perry,,718-389-5842,131 Norman Ave,11222,1,18,998184,203901,casselt@schools.nyc.gov,http://ps34.org,2,3,3,14K034,40.726135,-73.949649,1,33,573,3065733.0,3026220028.0,Greenpoint                                                                 
23,K038,DOE,K,P.S. 038 The Pacific,,718-330-9305,450 Pacific St,11217,1,126,988968,188868,yramire4@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k038,3,3,1,15K038,40.685264000000004,-73.982639,2,33,39,3001183.0,3001910001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
24,K039,DOE,K,P.S. 039 Henry Bristow,,718-330-9310,417 6 Ave,11215,1,36,988958,182905,,http://ps39.org,7,3,3,15K039,40.668915999999996,-73.983195,6,39,153,3021932.0,3010000001.0,Park Slope-Gowanus                                                         
25,K040,DOE,K,P.S. 040 George W Carver,,718-574-2353,265 Ralph Ave,11233,1,36,1005913,187134,lhibber@schools.nyc.gov,http://schools.nyc.gov/schoolportals/16/k040,3,3,3,16K040,40.680463,-73.922264,3,41,379,3041214.0,3015180001.0,Stuyvesant Heights                                                         
26,K044,DOE,K,P.S. 044 Marcus Garvey,,718-834-6939,432 Monroe St,11221,1,36,1000624,189327,rjames6@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k044,2,3,3,13K044,40.686592,-73.940747,3,36,277,3051540.0,3018210001.0,Stuyvesant Heights                                                         
27,K045,DOE,K,P.S. 045 Horace E Greene,,718-642-5360,84 Schaefer St,11207,1,54,1009081,189447,tlott-davis@schools.nyc.gov,http://schools.nyc.gov/schoolportals/32/k045,2,3,3,32K045,40.686746,-73.91069300000001,4,37,401,3079428.0,3034270011.0,Bushwick South                                                             
28,K046,DOE,K,P.S. 046 Edward C Blum,,718-834-7694,100 Clermont Ave,11205,1,54,992161,192247,knicholson@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k046,2,3,3,13K046,40.694633,-73.971165,2,35,187,3058088.0,3020450011.0,Fort Greene                                                                
29,K048,DOE,K,P.S. 048 Mapleton,,718-232-3873,6015 18 Ave,11204,1,18,987776,165729,jmagenta@schools.nyc.gov,http://schools.nyc.gov/schoolportals/20/k048,5,9,3,20K048,40.621871,-73.98739599999999,12,44,244,3132140.0,3055190001.0,Borough Park                                                               
30,K052,DOE,K,P.S. 052 Sheepshead Bay,,718-648-0882,2675 East 29 St,11235,1,72,1000858,153397,ralvare4@schools.nyc.gov,http://schools.nyc.gov/schoolportals/22/k052,3,3,3,22K052,40.587920000000004,-73.94053199999999,15,48,600,3205435.0,3074740001.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
31,K054,DOE,K,P.S. 054 Samuel C Barnes,,718-834-6752,195 Sanford St,11205,1,46,997373,191615,lkhan@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k054,2,3,3,13K054,40.693018,-73.953034,3,33,241,3049020.0,3017650015.0,Bedford                                                                    
32,K056,DOE,K,P.S. 056 Lewis H Latimer,,718-857-3149,170 Gates Ave,11238,1,18,995211,188782,dclarkj@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k056,3,3,3,13K056,40.68505,-73.96065899999999,2,35,231,3056874.0,3019830010.0,Clinton Hill                                                               
33,K058,DOE,K,P.S. 058 The Carroll,,718-330-9322,330 Smith St,11231,1,54,985512,187171,kdellostritto2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k058,2,3,3,15K058,40.680149,-73.994938,6,39,77,3007547.0,3004490015.0,Carroll Gardens-Columbia Street-Red Hook                                   
34,K059,DOE,K,P.S. 059 William Floyd,,718-443-3600,211 Throop Ave,11206,1,36,999930,193336,dbest2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/14/k059,3,3,3,14K059,40.696733,-73.943652,3,36,28502,3048546.0,3017490001.0,Stuyvesant Heights                                                         
35,K066,DOE,K,P.S. 66,,718-922-3505,845 East 96 St,11236,1,18,1010047,175668,ljackso17@schools.nyc.gov,http://schools.nyc.gov/schoolportals/18/k066,3,3,3,18K066,40.64883,-73.907774,18,42,970,3325418.0,3081290060.0,Canarsie                                                                   
