,LOCCODE,PreK_Type,Borough,LocName,NOTE,phone,address,Postcode,Day_Length,Seats,X,Y,Email,Website,MEALS,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
615,M001,DOE,M,P.S. 001 Alfred E Smith,,212-267-4133,8 Henry St,10038,1,72,984943,198898,ahom@schools.nyc.gov,http://schools.nyc.gov/schoolportals/02/m001,3,3,3,02M001,40.712759999999996,-73.997489,3,1,27,1003375.0,1002790040.0,Chinatown                                                                  
616,M002,DOE,M,P.S. 002 Meyer London,,212-964-0350,122 Henry St,10002,1,54,986640,199073,bng2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/02/m002,2,7,3,02M002,40.713273,-73.991339,3,1,6,1003248.0,1002730001.0,Lower East Side                                                            
617,M003,DOE,M,P.S. 003 Charrette School,,212-691-1183,490 Hudson St,10014,1,54,982537,206190,rkeatin@schools.nyc.gov,http://ps3nyc.org,2,3,1,02M003,40.732593,-74.006466,2,3,73,1009872.0,1005850041.0,West Village                                                               
618,M004,DOE,M,P.S. 004 Duke Ellington,,212-928-0739,500 West 160 St,10032,1,18,1000514,243409,bwhitejones@schools.nyc.gov,http://schools.nyc.gov/schoolportals/06/m004,2,3,3,06M004,40.834899,-73.941085,12,7,245,1062792.0,1021180022.0,Washington Heights South                                                   
619,M005,DOE,M,P.S. 005 Ellen Lurie,,212-567-8109,3703 Tenth Ave,10034,1,54,1005727,252054,wsoto2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/06/m005,2,3,3,06M005,40.858990000000006,-73.922894,12,10,299,1084201.0,1021500030.0,Marble Hill-Inwood                                                         
620,M007,DOE,M,P.S. 007 Samuel Stern,,212-860-5827,160 East 120 St,10035,1,36,1001046,231035,stalati@schools.nyc.gov,http://psms7.org/,3,3,3,04M007,40.801007,-73.93934899999999,11,8,196,1083501.0,1017680021.0,East Harlem North                                                          
621,M008,DOE,M,P.S. 008 Luis Belliard,,212-928-4364,465 West 167 St,10032,1,54,1001794,245009,rlandin@schools.nyc.gov,http://schools.nyc.gov/schoolportals/06/m008,2,3,3,06M008,40.838954,-73.936838,12,10,249,1081842.0,1021120001.0,Washington Heights South                                                   
622,M009,DOE,M,P.S. 009 Sarah Anderson,,212-678-2812,100 West 84 St,10024,1,18,991527,225333,ryoskowitz@schools.nyc.gov,http://schools.nyc.gov/schoolportals/03/m009,5,9,3,03M009,40.785287,-73.97343000000001,7,6,169,1032119.0,1012140029.0,Upper West Side                                                            
623,M011,DOE,M,P.S. 011 William T Harris,,212-929-1743,320 West 21 St,10011,1,18,984061,210431,smcgill3@schools.nyc.gov,http://schools.nyc.gov/schoolportals/02/m011,3,3,1,02M011,40.744349,-74.000253,4,3,89,1013260.0,1007440024.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
624,M015,DOE,M,P.S. 015 Roberto Clemente,,212-228-8730,333 East 4 St,10009,1,36,990123,202281,isanchez11@schools.nyc.gov,http://schools.nyc.gov/schoolportals/01/m015,3,3,1,01M015,40.721807,-73.979022,3,2,2601,1004415.0,1003740020.0,Lower East Side                                                            
625,M019,DOE,M,P.S. 019 Asher Levy,,212-533-5340,185 1 Ave,10003,1,36,988634,205140,jflanagan@schools.nyc.gov,http://schools.nyc.gov/schoolportals/01/m019,2,3,3,01M019,40.729636,-73.983818,3,2,40,1006478.0,1004530034.0,East Village                                                               
626,M020,DOE,M,P.S. 020 Anna Silver,,212-254-9577,166 Essex St,10002,1,54,988025,202056,tarrington@schools.nyc.gov,http://schools.nyc.gov/schoolportals/01/m020,2,3,3,01M020,40.721540000000005,-73.986648,3,1,3001,1004325.0,1003550001.0,Chinatown                                                                  
627,M028,DOE,M,P.S. 028 Wright Brothers,,212-690-3014,475 West 155 St,10032,1,36,1000300,242214,abaez7@schools.nyc.gov,http://schools.nyc.gov/schoolportals/06/m028,2,3,3,06M028,40.831227,-73.942143,12,7,239,1076739.0,1021070026.0,Washington Heights South                                                   
628,M030,DOE,M,P.S. 030 Hernandez / Hughes,,212-876-1825,144 - 176 East 128 St,10035,1,28,1002179,232850,tstinso@schools.nyc.gov,http://schools.nyc.gov/schoolportals/05/m030,3,3,3,05M030,40.805953,-73.935179,11,9,242,1054502.0,1017760020.0,East Harlem North                                                          
629,M033,DOE,M,P.S. 033 Chelsea Prep,,212-244-6426,281 9 Ave,10001,1,36,984209,212170,llindy@schools.nyc.gov,http://schools.nyc.gov/schoolportals/02/m033,2,3,3,02M033,40.748818,-73.999646,4,3,97,1012829.0,1007240023.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
630,M034,DOE,M,P.S. 034 Franklin D Roosevelt,,212-228-4433,730 East 12 St,10009,1,18,991118,203875,rgonzal52@schools.nyc.gov,http://schools.nyc.gov/schoolportals/01/m034,3,3,3,01M034,40.726473,-73.975181,3,2,28,1004564.0,1003810038.0,Lower East Side                                                            
631,M036,DOE,M,P.S. 036 Margaret Douglas,,212-690-5807,123 Morningside Dr,10027,1,90,996044,234601,hjnbapt@schools.nyc.gov,http://schools.nyc.gov/schoolportals/05/m036,3,3,3,05M036,40.81027,-73.957482,9,7,19701,1055890.0,1018500002.0,Morningside Heights                                                        
632,M037,DOE,M,River East Elementary,,212-348-2208,508 East 120 St,10035,1,18,1003514,229670,dcatlin@schools.nyc.gov,http://rivereastelementary.org,3,7,3,04M037,40.797467,-73.930868,11,8,192,1084005.0,1018160001.0,East Harlem North                                                          
633,M038,DOE,M,P.S. 38 Roberto Clemente,,212-860-5882,232 East 103 St,10029,1,36,999494,226582,csantos@schools.nyc.gov,http://schools.nyc.gov/schoolportals/04/m038,2,2,3,04M038,40.788952,-73.944538,11,8,164,1052384.0,1016520016.0,East Harlem South                                                          
634,M040,DOE,M,P.S. 040 Augustus St. - Gaudens,,212-475-5500,319 East 19 St,10003,1,36,989288,207141,02m040@schools.nyc.gov,http://schools.nyc.gov/schoolportals/02/m040,2,3,3,02M040,40.735161,-73.982027,6,2,64,1020513.0,1009250012.0,Gramercy                                                                   
635,MBKR,NYCEEC,M,Play Together NYC Preschool,,917-842-2779,270 West 84th St Basement,10024,1,12,990236,226090,nylakam@gmail.com,,5,9,3,03MBKR,40.787335,-73.978286,7,6,171,1032793.0,1012310060.0,Upper West Side                                                            
636,M041,DOE,M,P.S. 041 Greenwich Village,,212-675-2756,116 West 11 St,10011,1,36,984442,207285,mfarinet@schools.nyc.gov,http://schools.nyc.gov/schoolportals/02/m041,5,9,3,02M041,40.735692,-73.999026,2,3,71,1010543.0,1006060049.0,West Village                                                               
637,M042,DOE,M,P.S. 042 Benjamin Altman,,212-226-8410,71 Hester St,10002,1,54,986781,200151,MLee4@schools.nyc.gov,http://schools.nyc.gov/schoolportals/02/m042,3,3,3,02M042,40.715905,-73.990895,3,1,16,1003998.0,1003090001.0,Chinatown                                                                  
638,M046,DOE,M,P.S. 046 Arthur Tappan,,212-360-1519,2987 Frederick Dgls Blvd,10039,1,54,1001975,242268,gyoung@schools.nyc.gov,http://schools.nyc.gov/schoolportals/05/m046,2,3,3,05M046,40.830729999999996,-73.936134,10,9,24302,1082090.0,1021060050.0,Central Harlem North-Polo Grounds                                          
639,M048,DOE,M,P.S. 048 P.O. Michael J Buczek,,917-521-3800,4360 - 78 Broadway,10033,1,36,1002580,250136,twalsh@schools.nyc.gov,http://schools.nyc.gov/schoolportals/06/m048,2,3,3,06M048,40.853466,-73.934048,12,10,271,1076752.0,1021670029.0,Washington Heights North                                                   
640,M051,DOE,M,P.S. 051 Elias Howe,,212-315-7160,525 West 44th St,10036,1,54,985591,216656,nbock@schools.nyc.gov,http://ps51manhattan.com,3,3,3,02M051,40.761479,-73.995823,4,3,129,1089418.0,1010730014.0,Clinton                                                                    
641,M057,DOE,M,James Weldon Johnson,,212-860-5812,176 East 115 St,10029,1,36,1000443,229798,lhasty@schools.nyc.gov,http://schools.nyc.gov/schoolportals/04/m057,2,3,3,04M057,40.797577000000004,-73.94128,11,8,182,1083184.0,1016400139.0,East Harlem North                                                          
642,M063,DOE,M,The Star Academy - Ps63,,212-674-3180,121 East 3 St,10009,1,36,988036,203208,dcameron2@schools.nyc.gov,http://staracademyps63.com/,3,3,1,01M063,40.724117,-73.98638100000001,3,2,32,1005760.0,1004310014.0,East Village                                                               
643,M064,DOE,M,P.S. 064 Robert Simon,,212-673-6510,600 East 6 St,10009,1,36,989364,203121,mhosang@schools.nyc.gov,http://schools.nyc.gov/schoolportals/01/m064,2,3,3,01M064,40.72438,-73.98138,3,2,2601,1004627.0,1003870001.0,Lower East Side                                                            
644,M072,DOE,M,The Lexington Academy,,212-860-5831,131 East 104 St,10029,1,54,998767,227582,ahernan7@schools.nyc.gov,http://lexingtonacademy.info,3,1,3,04M072,40.791179,-73.947776,11,8,166,1081340.0,1016320011.0,East Harlem South                                                          
645,M076,DOE,M,P.S. 076 A Philip Randolph,,212-678-2865,220 West 121 St,10027,1,54,997726,233142,cdeberr@schools.nyc.gov,http://schools.nyc.gov/schoolportals/03/m076,3,3,1,03M076,40.806768,-73.951061,10,9,220,1058470.0,1019260017.0,Central Harlem South                                                       
646,M083,DOE,M,P.S. 083 Luis Munoz Rivera,,212-860-5847,219 East 109 St,10029,1,18,1000188,228334,fcastil@schools.nyc.gov,http://schools.nyc.gov/schoolportals/04/m083,3,3,3,04M083,40.793194,-73.942548,11,8,180,1052436.0,1016590012.0,East Harlem North                                                          
647,M084,DOE,M,P.S. 084 Lillian Weber,,212-799-2534,32 West 92 St,10025,1,36,993059,226926,rsundic@schools.nyc.gov,http://schools.nyc.gov/schoolportals/03/m084,2,3,3,03M084,40.789526,-73.967574,7,6,177,1081042.0,1012050006.0,Upper West Side                                                            
648,M087,DOE,M,P.S. 087 William Sherman,,212-678-2826,160 West 78 St,10024,1,18,990406,224094,mlerner@ps87.info,http://ps87.info,2,7,3,03M087,40.781958,-73.977638,7,6,161,1030196.0,1011490007.0,Upper West Side                                                            
649,M089,DOE,M,P.S. 89,,212-571-5659,201 Warren St,10282,1,16,980448,200482,vnajjar@schools.nyc.gov,http://schools.nyc.gov/schoolportals/02/m089,5,9,3,02M089,40.716668,-74.013542,1,1,31703,1085568.0,1000160220.0,Battery Park City-Lower Manhattan                                          
650,M092,DOE,M,P.S. 092 Mary McLeod Bethune,,212-690-5915,222 West 134 St,10030,1,54,999200,236265,rdavila@schools.nyc.gov,http://schools.nyc.gov/schoolportals/05/m092,3,3,3,05M092,40.815016,-73.945123,10,9,226,1058808.0,1019390011.0,Central Harlem North-Polo Grounds                                          
651,M096,DOE,M,P.S. 096 Joseph Lanzetta,,212-860-5851,216 East 120 St,10035,1,36,1001519,230774,skemp22@schools.nyc.gov,http://schools.nyc.gov/schoolportals/04/m096,2,3,3,04M096,40.800256,-73.937558,11,8,194,1074333.0,1017840012.0,East Harlem North                                                          
652,M098,DOE,M,P.S. 098 Shorac Kappock,,212-927-7870,512 West 212 St,10034,1,126,1007005,255485,mrodriguez23@schools.nyc.gov,http://schools.nyc.gov/schoolportals/06/m098,2,7,3,06M098,40.867826,-73.917059,12,10,303,1064871.0,1022290012.0,Marble Hill-Inwood                                                         
653,M102,DOE,M,P.S. 102 Jacques Cartier,,212-860-5834,315 East 113 St,10029,1,28,1001261,228920,cpinckn2@schools.nyc.gov,http://ps102m.org,2,3,3,04M102,40.794872,-73.93871899999999,11,8,180,1081366.0,1016840101.0,East Harlem North                                                          
654,M108,DOE,M,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,,212-860-5803,1615 Madison Ave,10029,1,18,998589,228939,gmachic@schools.nyc.gov,http://schools.nyc.gov/schoolportals/04/m108,3,3,3,04M108,40.795146,-73.948368,11,8,17401,1051584.0,1016140021.0,East Harlem South                                                          
655,M110,DOE,M,P.S. 110 Florence Nightingale,,212-674-2690,285 Delancy St,10002,1,36,989803,199925,parentcoordinator110@yahoo.com,http://schools.nyc.gov/schoolportals/01/m110,2,3,3,01M110,40.715915,-73.979893,3,1,12,1004066.0,1003310140.0,Lower East Side                                                            
656,M111,DOE,M,P.S. 111 Adolph S Ochs,,212-582-7420,440 West 53 St,10019,1,54,987176,218312,zcosme@schools.nyc.gov,http://schools.nyc.gov/schoolportals/02/m111,2,3,3,02M111,40.765878,-73.988823,4,3,133,1026740.0,1010620003.0,Clinton                                                                    
657,M112,DOE,M,P.S. 112 Jose Celso Barbosa,,212-860-5868,535 East 119 St,10035,1,36,1003557,229497,ereiter@schools.nyc.gov,http://schools.nyc.gov/schoolportals/04/m112,2,7,3,04M112,40.796668,-73.930966,11,8,192,1084005.0,1018160001.0,East Harlem North                                                          
658,M115,DOE,M,P.S. 115 Alexander Humboldt,,212-927-9233,586 West 177 St,10033,1,36,1002225,247606,bconsue@schools.nyc.gov,http://schools.nyc.gov/schoolportals/06/m115,3,3,3,06M115,40.846542,-73.93520500000001,12,10,261,1063228.0,1021330040.0,Washington Heights South                                                   
659,M116,DOE,M,P.S. 116 Mary Lindley Murray,,212-685-4366,210 East 33 St,10016,1,54,990449,210502,vritter@ps116.org,http://ps116.org,2,7,3,02M116,40.744838,-73.978116,6,2,70,1020080.0,1009130007.0,Murray Hill-Kips Bay                                                       
660,M123,DOE,M,P.S. 123 Mahalia Jackson,,212-342-6200,301 West 140 St,10030,1,54,999649,238086,mhernan5@schools.nyc.gov,http://schools.nyc.gov/schoolportals/05/m123,3,3,3,05M123,40.819767,-73.94443299999999,10,9,22102,1060726.0,1020420035.0,Central Harlem North-Polo Grounds                                          
661,M124,DOE,M,P.S. 124 Yung Wing,,212-966-7237,40 Division St,10002,1,90,985508,199564,ahom2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/02/m124,2,3,3,02M124,40.714201,-73.995087,3,1,16,1075787.0,1002890001.0,Chinatown                                                                  
662,M125,DOE,M,P.S. 125 Ralph Bunche,,212-666-6400,425 West 123 St,10027,1,54,996483,234615,rhiggins@schools.nyc.gov,http://schools.nyc.gov/schoolportals/05/m125,3,3,3,05M125,40.810431,-73.955809,9,7,20901,1059526.0,1019640012.0,Morningside Heights                                                        
663,MANG,NYCEEC,M,Imagine ELC At Vets Kids,,212-951-3435,423 East 23 St,10010,1,15,990780,207539,lauren@imagineelc.com,http://imagineelc.com,5,4,1,02MANG,40.736470000000004,-73.97773199999999,6,4,62,1081691.0,1009550005.0,Murray Hill-Kips Bay                                                       
