,LOCCODE,PreK_Type,Borough,LocName,NOTE,phone,address,Postcode,Day_Length,Seats,X,Y,Email,Website,MEALS,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
678,Q020,DOE,Q,P.S. 020 John Bowne,,718-359-0321,142 - 30 Barclay Ave,11355,1,108,1032964,215709,vhart@schools.nyc.gov,http://ps20q.org,2,2,3,25Q020,40.758596000000004,-73.82524000000001,7,20,855,4312193.0,4050460049.0,Flushing                                                                   
716,QAGP,NYCEEC,Q,St. Sebastian School,,718-928-5997,39 - 76 58 St,11377,1,58,1010185,211092,admin@stsebastianschool.org,,5,9,3,30QAGP,40.747453,-73.90554499999999,2,26,259,,,Woodside                                                                   
825,Q165,DOE,Q,P.S. 165 Edith K Bergtraum,,718-263-4004,70 - 35 150 St,11367,1,46,1034688,205168,rdemillio2@schools.nyc.gov,http://ps165q.net,2,7,3,25Q165,40.730442,-73.81880799999999,8,24,77906,,,Kew Gardens Hills                                                          
884,Q015,DOE,Q,P.S. 015 Jackie Robinson,,718-525-1670,121 - 15 Lucas St,11413,1,36,1051614,189303,aktori@schools.nyc.gov,http://schools.nyc.gov/schoolportals/29/q015,2,3,1,29Q015,40.686028,-73.757412,12,27,376,4273142.0,4126720001.0,St. Albans                                                                 
885,Q017,DOE,Q,P.S. 017 Henry David Thoreau,,718-278-1220,28 - 37 29 St,11102,1,36,1005622,219185,rheyward@schools.nyc.gov,http://schools.nyc.gov/schoolportals/30/q017,3,3,3,30Q017,40.769018,-73.922395,1,22,71,4537623.0,4005940029.0,Old Astoria                                                                
886,Q018,DOE,Q,P.S. 018 Winchester,,718-464-4167,86 - 35 235 Ct,11427,1,18,1058444,206065,LCareddu2@schools.nyc.gov,,5,6,3,26Q018,40.732548,-73.732295,13,23,1621,,,Bellerose                                                                  
887,Q021,DOE,Q,P.S. 021 Edward Hart,,718-445-8833,147 - 36 26 Ave,11354,1,90,1034491,221402,dbuszko@schools.nyc.gov,http://schools.nyc.gov/schoolportals/25/q021,2,3,3,25Q021,40.774529,-73.819327,7,19,1047,,,Murray Hill                                                                
888,Q022,DOE,Q,P.S. 022 Thomas Jefferson,,718-762-4141,153 - 33 Sanford Ave,11355,1,36,1036600,216838,jmeyer5@schools.nyc.gov,http://schools.nyc.gov/schoolportals/25/q022,3,3,3,25Q022,40.761186,-73.812072,7,20,1167,4438184.0,4053280001.0,Murray Hill                                                                
889,Q026,DOE,Q,P.S. 026 Rufus King,,718-464-4505,195 - 02 69 Ave,11365,1,36,1045769,207725,apecore@schools.nyc.gov,http://schools.nyc.gov/schoolportals/26/q026,2,7,3,26Q026,40.736922,-73.77799300000001,8,23,1347,,,Fresh Meadows-Utopia                                                       
890,Q028,DOE,Q,P.S. 28 - The Thomas Emanuel ECC,,718-271-4971,109 - 10 47 Ave,11368,1,10,1024571,211469,lpessut@schools.nyc.gov,http://schools.nyc.gov/schoolportals/24/q028,5,9,3,24Q028,40.74711,-73.854936,4,21,415,4049468.0,4020020055.0,Corona                                                                     
891,Q029,DOE,Q,P.S. 029 Queens,,718-886-5111,125 - 10 23 Ave,11356,1,36,1027687,222887,jleakey@schools.nyc.gov,http://schools.nyc.gov/schoolportals/25/q029,5,9,3,25Q029,40.777902000000005,-73.917879,1,22,101,4019469.0,4008770102.0,Steinway                                                                   
892,Q031,DOE,Q,P.S. 031 Bayside,,718-423-8288,211 - 45 46 Rd,11361,1,36,1048255,215371,26q031@schools.nyc.gov,http://ps31q.com,2,3,1,26Q031,40.757039,-73.77014799999999,11,19,1447,4157113.0,4073250004.0,Bayside-Bayside Hills                                                      
893,Q032,DOE,Q,P.S. 032 State Street,,718-463-3747,171 - 11 35 Ave,11358,1,36,1041260,218069,derrico@schools.nyc.gov,http://schools.nyc.gov/schoolportals/25/q032,2,3,3,25Q032,40.764768,-73.794752,7,19,1141,,,Murray Hill                                                                
894,Q034,DOE,Q,P.S. 034 John Harvard,,718-465-6818,104 - 12 Springfield Blvd,11429,1,36,1056962,198450,pshakes@schools.nyc.gov,http://schools.nyc.gov/schoolportals/29/q034,2,3,3,29Q034,40.711753,-73.736603,13,27,582,,,Queens Village                                                             
895,Q035,DOE,Q,P.S. 035 Nathaniel Woodhull,,718-465-6820,191 - 02 90 Ave,11423,1,36,1048277,199369,mdempsey@schools.nyc.gov,http://ps35q.org,2,3,3,29Q035,40.713753000000004,-73.769449,12,23,482,,,Hollis                                                                     
896,Q037,DOE,Q,Cynthia Jenkins School,,718-528-5399,179 - 37 137 Ave,11434,1,72,1051188,185690,bmitche2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/29/q037,3,3,3,29Q037,40.675569,-73.75924499999999,12,27,352,4279868.0,4129930122.0,St. Albans                                                                 
897,QASM,NYCEEC,Q,Ces Childcare,,917-832-6506,2 - 08 Astoria Blvd,11102,1,18,1001907,220726,info@clevelandedu.com,,3,3,1,30QASM,40.773758,-73.936247,1,22,87,,,Old Astoria                                                                
898,Q040,DOE,Q,P.S. 040 Samuel Huntington,,718-526-1906,109 - 20 Un Hall St,11433,1,36,1042210,192244,abranke@schools.nyc.gov,http://schools.nyc.gov/schoolportals/28/q040,2,3,3,28Q040,40.694125,-73.790675,12,28,260,4263341.0,4121510001.0,South Jamaica                                                              
899,Q042,DOE,Q,P.S. / M.S. 042 R Vernam,,718-634-7914,488 Bch 66 St,11692,1,54,1041193,155880,pfinn3@schools.nyc.gov,http://schools.nyc.gov/schoolportals/27/q042,3,3,3,27Q042,40.594538,-73.795304,14,31,964,4302817.0,4160390014.0,Hammels-Arverne-Edgemere                                                   
900,Q043,DOE,Q,P.S. 043,,718-327-5860,160 Bch 29 St,11691,1,90,1050510,155650,gfairwe@schools.nyc.gov,http://schools.nyc.gov/schoolportals/27/q043,2,7,3,27Q043,40.593834,-73.76174,14,31,99802,4467711.0,4158200001.0,Far Rockaway-Bayswater                                                     
901,Q045,DOE,Q,P.S. 045 Clarence Witherspoon,,718-529-1885,126 - 28 150 St,11436,1,36,1042896,184207,sseverin2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/27/q045,2,3,3,27Q045,40.672757,-73.788157,12,28,788,4262729.0,4121040022.0,Baisley Park                                                               
902,Q047,DOE,Q,P.S. 047 Chris Galas,,718-634-7167,9 Power Rd,11693,1,18,1034022,160276,amoynag@schools.nyc.gov,http://schools.nyc.gov/schoolportals/27/q047,2,3,3,27Q047,40.606353000000006,-73.82044499999999,14,32,107201,4448968.0,4153130485.0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
903,Q048,DOE,Q,P.S. 048 William Wordsworth,,718-558-6700,108 - 29 155 St,11433,1,54,1040649,192209,nthacker2@schools.nyc.gov,http://ps48q.com,3,3,3,28Q048,40.693807,-73.796965,12,28,254,4000000.0,4101430028.0,South Jamaica                                                              
904,Q050,DOE,Q,P.S. 050 Talfourd Lawn Elementary School,,718-526-5336,143 - 26 101 Ave,11435,1,72,1037795,192571,rmanjarrez@schools.nyc.gov,http://schools.nyc.gov/schoolportals/28/q050,3,3,3,28Q050,40.695011,-73.808162,12,28,206,,,Jamaica                                                                    
905,Q051,DOE,Q,P.S. 051,,718-850-0738,87 - 45 117 St,11418,1,36,1030911,193718,msaintj@schools.nyc.gov,http://schools.nyc.gov/schoolportals/27/q051,2,7,3,27Q051,40.699079,-73.83241,9,29,122,4195822.0,4093260008.0,Richmond Hill                                                              
906,Q052,DOE,Q,P.S. 052 Queens,,718-528-2238,178 - 37 146 Ter,11434,1,90,1048979,180298,dsantana@schools.nyc.gov,http://schools.nyc.gov/schoolportals/29/q052,3,3,3,29Q052,40.661035999999996,-73.767761,13,31,320,4285972.0,4133530020.0,Springfield Gardens South-Brookville                                       
907,Q055,DOE,Q,P.S. 055 Maure,,718-849-3845,131 - 10 97 Ave,11419,1,54,1035193,192127,rhonore@schools.nyc.gov,http://schools.nyc.gov/schoolportals/28/q055,5,9,3,28Q055,40.694004,-73.816686,9,28,150,4200199.0,4094750029.0,Richmond Hill                                                              
908,Q058,DOE,Q,P.S. 58 - School Of Heroes,,718-533-6712,72 - 24 Grand Ave,11378,1,36,1014669,204798,ATripol@schools.nyc.gov,http://schools.nyc.gov/schoolportals/24/q058,5,9,3,24Q058,40.728192,-73.89144,5,30,49302,4000000.0,4027970128.0,Maspeth                                                                    
909,Q060,DOE,Q,P.S. 060 Woodhaven,,718-441-5046,91 - 02 88 Ave,11421,1,72,1025072,191234,fdesari@schools.nyc.gov,http://schools.nyc.gov/schoolportals/27/q060,2,3,1,27Q060,40.692173,-73.852654,9,32,18,,,Woodhaven                                                                  
910,Q062,DOE,Q,P S 62 - Chester Park School,,718-286-4460,97 - 25 108 St,11419,1,36,1029774,190197,ps62@me.com,http://ps062.org,2,3,3,27Q062,40.688673,-73.83623,9,28,110,,,Richmond Hill                                                              
911,Q063,DOE,Q,P.S. 063 Old South,,718-845-7560,90 - 15 Sutter Ave,11417,1,36,1026702,185874,dmarino@schools.nyc.gov,http://schools.nyc.gov/schoolportals/27/q063,2,3,3,27Q063,40.6764,-73.846863,10,32,54,4190727.0,4091550025.0,Ozone Park                                                                 
