,LOCCODE,PreK_Type,Borough,LocName,NOTE,phone,address,Postcode,Day_Length,Seats,X,Y,Email,Website,MEALS,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
1278,RAGD,NYCEEC,R,Yeled V'Yalda / Silver Lake Head Start II,,718-720-0090,20 Park Hl Cir,10304,1,40,962609,163785,dvazquez@yeled.org,http://yeled.org,3,3,1,31RAGD,40.616309,-74.078108,1,49,40,5043182.0,5028670100.0,Grymes Hill-Clifton-Fox Hills                                              
1365,R001,DOE,R,P.S. 001 Tottenville,,718-984-0960,58 Smt St,10307,1,18,916394,124757,gsilber@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r001,2,3,3,31R001,40.509037,-74.244118,3,51,24401,5107854.0,5078980001.0,Charleston-Richmond Valley-Tottenville                                     
1366,R003,DOE,R,P.S. 003 The Margaret Gioiosa School,,718-984-1021,80 South Goff Ave,10309,1,36,925407,129019,jguerrieri@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r003,3,7,3,31R003,40.520699,-74.211264,3,51,198,5083311.0,5067960044.0,Annadale-Huguenot-Prince's Bay-Eltingville                                 
1367,R004,DOE,R,P.S. 004 Maurice Wollin,,718-984-1197,200 Nedra Ln,10312,1,72,929927,140491,sdimitri@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r004,2,3,1,31R004,40.552975,-74.194597,3,51,17010,5079499.0,5060250030.0,Arden Heights                                                              
1368,R006,DOE,R,P.S. 006 Corporal Allan F Kivlehan School,,718-697-3760,555 Page Ave,10307,1,36,920131,125360,cdifolc@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r006,2,3,1,31R006,40.510735,-74.231109,3,51,24401,5131697.0,5077600001.0,Charleston-Richmond Valley-Tottenville                                     
1369,R008,DOE,R,P.S. 008 Shirlee Solomon,,718-356-2800,112 Lindenwood Rd,10308,1,18,941939,138820,lesposi2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r008,2,3,3,31R008,40.547692,-74.15175500000001,3,51,15601,5066295.0,5052210001.0,Great Kills                                                                
1370,R009,DOE,R,Naples Street Elementary School,,718-876-4610,1055 Targee St,10304,1,36,958999,158749,dmarco2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r009,3,3,3,31R009,40.60223,-74.09135500000001,2,50,50,5046419.0,5031710001.0,Grasmere-Arrochar-Ft. Wadsworth                                            
1371,R011,DOE,R,P.S. 011 Thomas Dongan School,,718-979-1030,50 Jefferson St,10304,1,36,957047,154511,ematter@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r011,3,3,3,31R011,40.59057,-74.09772199999999,2,50,9602,5048647.0,5033030018.0,Old Town-Dongan Hills-South Beach                                          
1372,R013,DOE,R,P.S. 013 M L Lindemeyer,,718-447-1462,191 Vermont Ave,10305,1,18,965019,162646,pmartuc2@ps13si.org,http://ps13si.org,2,7,3,31R013,40.613215999999994,-74.069889,1,49,8,5042776.0,5028520001.0,Stapleton-Rosebank                                                         
1373,R016,DOE,R,P.S. 016 John J Driscoll,,718-447-0124,80 Monroe Ave,10301,1,46,962221,172351,vgallas@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r016,2,3,3,31R016,40.6397,-74.079141,1,49,11,5000291.0,5000180015.0,West New Brighton-New Brighton-St. George                                  
1374,R018,DOE,R,P.S. 018 John G Whittier,,718-442-0216,221 Broadway,10310,1,54,951731,171264,rrodrig18@schools.nyc.gov,http://schools.nyc.gov/schoolportals/31/r018,2,3,3,31R018,40.636587,-74.117509,1,49,105,5004877.0,5001760010.0,New Brighton-Silver Lake                                                   
