LOCCODE,PreK_Type,Borough,LocName,NOTE,phone,address,Postcode,Day_Length,Seats,X,Y,Email,MEALS,Website,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
K056,DOE,K,P.S. 056 Lewis H Latimer,,718-857-3149,170 Gates Ave,11238,1,18,995211,188782,dclarkj@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/13/k056,3,3,13K056,40.68505,-73.960659,2,35,231,3056874,3019830010,Clinton Hill                                                               
KBXS,NYCEEC,K,"Roger Day Care, Inc.",,718-703-4312,775 Rogers Ave,11226,1,26,997465,176822,raps775@gmail.com,3,,8,1,17KBXS,40.652016,-73.952602,17,40,820,3116809,3050880006,Prospect Lefferts Gardens-Wingate                                          
Z012,DOE,K,Pre - K Center At 1139 Coney Island Avenue,,718-724-1730,1139 Coney Is Ave,11230,1,144,993784,168763,CQuigley@schools.nyc.gov,5,,9,3,22Z012,40.630101,-73.966207,14,45,528,3421641,3066860052,Flatbush                                                                   
KCLH,NYCEEC,K,Neshama Preschool,,917-804-8284,723 Ave Z,11223,1,20,993304,153043,neshama1inc@gmail.com,5,,9,3,21KCLH,40.58655,-73.967352,13,47,37401,3195856,3072180077,Gravesend                                                                  
KBKC,NYCEEC,K,Friends Of Crown Heights 16,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,929-234-2870,668 Logan St,11208,1,50,1018892,183179,gdublin4@foch.biz,3,http://fochdaycare.org,4,1,19KBKC,40.669503,-73.874884,5,42,1118,3098472,3044570001,East New York                                                              
KBQI,NYCEEC,K,"Red Hat DCC, Inc.",,718-336-1480,1317 East 15th St,11230,3,29,995420,164264,daycareredhat@yahoo.com,2,http://redhatdaycare.com,7,1,21KBQI,40.617221,-73.959874,14,48,768,3180962,3067440082,Midwood                                                                    
K245,DOE,K,P.S. 245,,718-284-2330,249 East 17th St,11226,1,18,994541,174249,ewillia14@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/22/k245,3,3,22K245,40.645016,-73.963208,14,40,512,3117584,3051210032,Flatbush                                                                   
KBSC,NYCEEC,K,New Life CDC 3,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-417-4214,408 Grv St,11237,1,58,1008501,194797,newlifedc2@verizon.net,3,,7,1,32KBSC,40.701224,-73.912863,4,37,441,3397531,3033290016,Bushwick North                                                             
KBIS,NYCEEC,K,"Yeled V'Yalda ECC, Inc.",,718-514-8980,600 Mcdonald Ave,11218,3,45,989993,172288,Blemmer@yeled.org,5,http://yeled.org,9,3,20KBIS,40.639418,-73.978914,12,39,486,3125932,3053690006,Kensington-Ocean Parkway                                                   
K414,DOE,K,Brooklyn Arbor Elementary School,,718-963-0393,325 South 3 St,11211,1,36,996862,197921,parents@brooklynarbor.org,3,http://brooklynarbor.org,3,3,14K414,40.709647,-73.95465,1,34,527,3063188,3024230001,North Side-South Side                                                      
